ID,Name,Type,Sub-Type,Syze,Hit dice,Dice Type,Life Bonus,Initiative,Speed,Armor Class,Base Attack,Grapple,Attack,Full Attack,Space|Reach,Special Attacks,Special Qualities,Fortitude,Reflexes,Will,Str,Dex,Con,Int,Wis,Cha,Skills,Feats,Enviroments,Challenge Rating,Treasure,Alignment,LvL Adjustment,Organization,Advancement
45,Cloud Giant,Giant,Air,Huge,17,d8,102,1,10|0|0|0|0,25|9|24,12,32,Gargantuan morningstar +22 melee (4d6+18) or slam +22 melee (1d6+12) or rock +12 ranged (2d8+12),Gargantuan morningstar +22/+17/+12 melee (4d6+18) or 2 slams +22 melee (1d6+12) or rock +12 ranged (2d8+12),3|3,	Rock throwing| spell-like abilities,Low-light vision| oversized weapon| rock catching| scent,16,6,10,35,13,23,12,16,13,Climb +19| Craft (any one) +11| Diplomacy +3| Intimidate +11| Listen +15| Perform (stringed instruments) +2| Sense Motive +9| Spot +15,Awesome Blow| Cleave| Improved Bull Rush| Improved Overrun| Iron Will| Power Attack,Temperate mountains,12,Standard coins| double goods| standard items,Neutral,-,Solitary| gang (2–4)| family (2–4 plus 35% noncombatants plus 1 sorcerer or cleric of 4th–7th level plus 2–5 griffons or 2–8 dire lions)| or band (6–9 plus 1 sorcerer or cleric of 4th–7th level plus 2–5 griffons or 2–8 dire lions),By character class
46,Ettin,Giant,-,Large,10,d8,20,3,8|0|0|0|0,18|8|18,7,17,Morningstar +12 melee (2d6+6) or javelin +5 ranged (1d8+6),2 morningstars +12/+7 melee (2d6+6) or 2 javelins +5 ranged (1d8+6),2|2,-,Low-light vision| superior two-weapon fighting,7,2,5,13,8,15,6,10,11,Listen +10| Search +1| Spot +10,Alertness| Improved Initiative| Iron Will| Power Attack,Cold hills,6,Standard,Chaotic Evil,5,Solitary| gang (2–4)| troupe (1–2 plus 1–2 brown bears)| band (3–5 plus 1–2 brown bears)| or colony (3–5 plus 1–2 brown bears and 7–12 orcs or 9–16 goblins),By character class
47,Fire Giant,Giant,Fire,Large,15,d8,75,-1,8|0|0|0|0,23|8|23,11,25,Greatsword +20 melee (3d6+15) or slam +20 melee (1d4+10) or rock +10 ranged (2d6+10 plus 2d6 fire),Greatsword +20/+15/+10 melee (3d6+15) or 2 slams +20 melee (1d4+10) or rock +10 ranged (2d6+10 plus 2d6 fire),2|2,Rock throwing,Immunity to fire| low-light vision| rock catching| vulnerability to cold,14,4,9,31,9,21,10,14,11,Climb +9| Craft (any one) +6| Intimidate +6| Jump +9| Spot +14,Cleave| Great Cleave| Improved Overrun| Improved Sunder| Iron Will| Power Attack,Warm mountains,10,Standard,Lawful evil,4,	Solitary| gang (2–5)| band (6–9 plus 35% noncombatants plus 1 adept or cleric of 1st or 2nd level)| hunting/raiding party (6–9 plus 1 adept or sorcerer of 3rd–5th level plus 2–4 hell hounds and 2–3 trolls or ettins)| or tribe (21–30 plus 1 adept| cleric| or sorcerer of 6th or 7th level plus 12–30 hell hounds| 12–22 trolls| 5–12 ettins| and 1–2 young red dragons),By character class
48,Frost Giant,Giant,Cold,Large,14,d8,70,-1,8|0|0|0|0,21|8|21,10,23,Greataxe +18 melee (3d6+13/x3) or slam +18 melee (1d4+9) or rock +9 ranged (2d6+9),Huge greataxe +18/+13 melee (3d6+13/x3) or 2 slams +18 melee (1d4+9) or rock +9 ranged (2d6+9),2|2,Rock throwing,Immunity to cold| low-light vision| rock catching| vulnerability to fire,14,3,6,29,9,21,10,14,11,Climb +13| Craft (any one) +6| Intimidate +6| Jump +17| Spot +12,Cleave| Great Cleave| Improved Overrun| Improved Sunder| Power Attack,Cold mountains,9,Standard,Chaotic Evil,4,Solitary| gang (2–5)| band (6–9 plus 35% noncombatants plus 1 adept or cleric of 1st or 2nd level)| hunting/raiding party (6–9 plus 35% noncombatants plus 1 adept or sorcerer of 3rd–5th level plus 2–4 winter wolves and 2–3 ogres)| or tribe (21–30 plus 1 adept| cleric| or sorcerer of 6th or 7th level plus 12–30 winter wolves| 12–22 ogres| and 1–2 young white dragons),By character class
49,Half-Giant,Giant,Psionic,Medium,1,d8,2,-1,6|0|0|0|0,13|9|13,1,7,Large greatsword +4 melee (3d6+3/19–20) or Large javelin +0 ranged (1d8+2),Large greatsword +4 melee (3d6+3/19–20) or Large javelin +0 ranged (1d8+2),1|1,Psi-like abilities,Fire acclimated| powerful build| low-light vision,4,-1,-1,15,9,14,10,9,8,Listen +1| Spot +1,Weapon Focus (greatsword),Warm desert,1,Standard,Neutral Good,1,	Team (2–4)| squad (11–20 plus 2 3rd-level sergeants and 1 leader of 3rd–6th level)| or band (30–100 plus 150% noncombatants plus 1 3rd-level sergeant per 10 adults| 5 5th-level lieutenants| and 3 7th-level captains),By character class
50,Hill Giant,Giant,-,Large,12,d8,48,-1,8|0|0|0|0,20|8|20,9,20,Greatclub +16 melee (2d8+10) or slam +15 melee (1d4+7) or rock +8 ranged (2d6+7),Greatclub +16/+11 melee (2d8+10) or 2 slams +15 melee (1d4+7) or rock +8 ranged (2d6+7),2|2,Rock throwing,Low-light vision| rock catching,12,3,4,25,8,19,6,10,7,Climb +7| Jump +7| Listen +3| Spot +6,	Cleave| Improved Bull Rush| Power Attack| Improved Sunder| Weapon Focus (greatclub),Temperate hills,7,Standard,Chaotic Evil,4,Solitary| gang (2–5)| band (6–9 plus 35% noncombatants)| hunting/raiding party (6–9 plus 2–4 dire wolves)| or tribe (21–30 plus 35% noncombatants plus 12–30 dire wolves| 2–4 ogres| and 12–22 orcs),By character class
51,Merrow,Giant,Aquatic,Large,4,d8,11,-1,6|0|8|0|0,16|8|16,3,12,longspear +8 melee (1d8+7) or javelin +1 ranged (1d8+5),longspear +8 melee (1d8+7) or javelin +1 ranged (1d8+5),2|2,-,Darkvision 60 ft.| low-light vision,6,0,1,21,8,15,6,10,7,Climb +5| Listen +2| Spot +2,Toughness| Weapon Focus (greatclub),Temperate aquatic,3,Standard,Chaotic Evil,2,Solitary| pair| gang (3–4)| or band (5–8),By character class
52,Ogre Mage,Giant,-,Large,5,d8,15,4,8|8|0|0|0,18|9|18,3,12,Greatsword +7 melee (3d6+7/19–20) or longbow +2 ranged (2d6/x3),Greatsword +7 melee (3d6+7/19–20) or longbow +2 ranged (2d6/x3),2|2,Spell-like abilities,Darkvision 90 ft.| low-light vision| regeneration 5| spell resistance 19,7,1,3,21,10,17,14,14,17,Concentration +11| Listen +10| Spellcraft +10| Spot +10,Combat Expertise| Improved Initiative,Cold hills,8,Double standard ,Lawful evil,7,Solitary| pair| or troupe (1–2 plus 2–4 ogres),By character class
53,Ogre,Giant,-,Large,4,d8,11,-1,8|0|0|0|0,16|8|16,3,12,greatclub +8 melee (2d8+7) or javelin +1 ranged (1d8+5),greatclub +8 melee (2d8+7) or javelin +1 ranged (1d8+5),2|2,-,Darkvision 60 ft.| low-light vision,6,0,1,21,8,15,6,10,7,	Climb +5| Listen +2| Spot +2,Toughness| Weapon Focus (greatclub),Temperate hills,3,Standard,Chaotic Evil,2,Solitary| pair| gang (3–4)| or band (5–8),By character class
54,Scrag,Giant,Aquatic,Large,6,d8,36,2,2|0|8|0|0,16|11|14,4,14,Claw +9 melee (1d6+6),2 claws +9 melee (1d6+6) and bite +4 melee (1d6+3),2|2,Rend 2d6+9,Darkvision 90 ft.| low-light vision| regeneration 5| scent,11,4,3,23,14,23,6,9,6,Listen +5| Spot +6,Alertness| Iron Will| Track,Any aquatic,5,Standard,Chaotic Evil,5,Solitary or gang (2–4),By character class
55,Stone Giant,Giant,Earth,Large,14,d8,56,2,8|0|0|0|0,25|11|23,10,22,Greatclub +17 melee (2d8+12) or slam +17 melee (1d4+8) or rock +11 ranged (2d8+12),Greatclub +17/+12 melee (2d8+12) or 2 slams +17 melee (1d4+8) or rock +11 ranged (2d8+12),2|2,Rock throwing,Darkvision 60 ft.| low-light vision| rock catching,13,6,7,27,15,19,10,12,11,Climb +11| Hide +6*| Jump +11| Spot +12,Combat Reflexes| Iron Will| Point Blank Shot| Power Attack| Precise Shot,Temperate Mountains,8,Standard,Neutral Neutral,4,	Solitary| gang (2–5)| band (6–9 plus 35% noncombatants)| hunting/raiding/trading party (6–9 plus 1 elder)| or tribe (21–30 plus 35% noncombatants plus 1–3 elders and 3–6 dire bears),By character class
56,Storm Giant,Giant,-,Huge,19,d8,114,2,10|0|8|0|0,27|10|25,14,36,Greatsword +26 melee (4d6+21/19–20) or slam +26 melee (1d6+14) or composite longbow (+14 str bonus) +14 ranged (3d6+14/x3),Greatsword +26/+21/+16 melee (4d6+21/19–20) or 2 slams +26 melee (1d6+14) or composite longbow (+14 str bonus) +14/+9/+4 ranged (3d6+14/x3),3|3,Spell-like abilities,Freedom of movement| immunity to electricity| low-light vision| rock catching| water breathing,17,8,13,39,14,23,16,22,15,Climb +20| Concentration +26| Craft (any one) +13| Diplomacy +4| Intimidate +12| Jump +24| Listen +15| Perform (sing) +12| Sense Motive +15| Spot +25| Swim +18*,Awesome Blow| Cleave| Combat Reflexes| Improved Bull Rush| Improved Sunder| Iron Will| Power Attack,Warm Mountains,13,Standard coins| double goods| standard items,Chaotic Good,-,Solitary or family (2–4 plus 35% noncombatants plus 1 sorcerer or cleric of 7th–10th level plus 1–2 rocs| 2–5 griffons| or 2–8 sea cats),By character class
57,Troll,Giant,-,Large,6,d8,36,2,6|0|0|0|0,16|11|14,4,14,Claw +9 melee (1d6+6),2 claws +9 melee (1d6+6) and bite +4 melee (1d6+3),2|2,Rend 2d6+9,Darkvision 90 ft.| low-light vision| regeneration 5| scent,11,4,3,23,14,23,6,9,6,Listen +5| Spot +6,Alertness| Iron Will| Track,Cold Mountains,5,Standard,Chaotic Evil,5,Solitary or gang (2–4),By character class
58,Behemoth Eagle,Outsider,Extraplanar,Colossal,21,d8,126,20,4|32|0|0|0,24|14|10,21,44,Claw +25 (5d10+7) melee,2 claws +25 (5d10+7) melee| bite +20 (4d12+3) melee,6|4,-,Evasion| SR 30,18,24,16,25,34,23,17,19,16,Diplomacy +27| Jump +3| Knowledge (geography| history| nature| religion| the planes) +27| Listen +30| Search +27| Sense Motive +28| Spot +41| Survival +28,Alertness| Endurance| Flyby Attack| Improved Initiative| Iron Will| Skill Focus (Spot)| Superior Initiative| Weapon Finesse,Any,18,None,Neutral Neutral,-,Solitary or pair,21–42 HD (Colossal)
59,Behemoth Gorilla,Outsider,Extraplanar,Huge,21,d8,252,12,12|0|0|0|6,38|16|30,21,39,-,	2 claws +29 (4d8+10) melee| bite +24 (3d10+5) melee,4|4,Rend 8d8+20,Scent| SR 30,24,20,16,31,26,35,6,15,12,Balance +32| Climb +42| Intimidate +25| Jump +34| Move Silently +32| Spot +26,Dodge| Endurance| Epic Toughness| Improved Initiative| Iron Will| Mobility| Power Attack| Spring Attack,Warm Forest| Warm Mountains,19,None,Neutral Neutral,-,Solitary or company (5–8),22–42 HD (Huge)
60,Bone Devil(Osyluth),Outsider,Devil| Extraplanar| Evil| Lawful,Large,10,d8,50,9,8|0|0|0|0,25|14|20,10,19,Bite +14 melee (1d8+5),Bite +14 melee (1d8+5) and 2 claws +12 melee (1d4+2) and sting +12 melee (3d4+2 plus poison),2|2,Spell-like abilities| fear aura| poison| summon devil,Damage reduction 10/good| darkvision 60 ft.| immunity to fire and poison| resistance to acid 10 and cold 10| see in darkness| spell resistance 21| telepathy 100 ft.,12,12,11,21,21,21,14,14,14,	Bluff +15| Concentration +18| Diplomacy +6| Disguise +2 (+4 acting)| Hide +14| Intimidate +17| Knowledge (any one) +15| Listen +17| Move Silently +18| Search +15| Sense Motive +15| Spot +17| Survival +2 (+4 following tracks),Alertness| Improved Initiative| Iron Will| Multiattack,Lawful Evil-Aligned Plane,9,Standard,Lawful Evil,-,Solitary| team (2–4)| or squad (6–10),11–20 HD (Large)| 21–30 HD (Huge)
61,Bralani,Outsider,Chaotic| Extraplanar| Good,Medium,6,d8,18,8,8|20|0|0|0,20|14|16,6,10, +1 holy scimitar +11 melee (1d6+4/18–20) or +1 holy composite longbow (+4 str bonus) +11 ranged (1d8+5/x3) or slam +10 melee (1d6+4) ,        +1 holy scimitar +11/+6 melee (1d6+4/18–20) or +1 holy composite longbow (+4 str bonus) +11/+6 ranged (1d8+5/x3) or slam +10 melee (1d6+4),1|1,Spell-like abilities| whirlwind blast,Alternate form| damage reduction 10/cold iron or evil| darkvision 60 ft.| immunity to electricity and petrification| low-light vision| resistance to cold 10 and fire 10| spell resistance 17| tongues,8,9,7,18,18,17,13,14,14,        Concentration +12| Diplomacy +4| Escape Artist +13| Handle Animal +11| Hide +13| Jump +10| Listen +13| Move Silently +13| Ride +6| Sense Motive +11| Spot +13| Tumble +13| Use Rope +4 (+6 with bindings),Alertness| Blind Fight| Improved Initiative,Chaotic Good-Aligned Plane,6,No coins| double goods| standard items,Chaotic Good,5,Solitary| pair| or squad (3–5),7–12 HD (Medium)| 13–18 HD (Large)
62,Cauchemar Nightmare,Outsider,Evil| Extraplanar,Huge,15,d8,105,6,8|18|0|0|0,26|10|24,15,33,Hoof +23 melee (2d6+10 plus 1d4 fire),2 hooves +23 melee (2d6+10 plus 1d4 fire) and bite +18 melee (2d6+5),3|2,Flaming hooves| smoke,Astral projection| darkvision 60 ft.| etherealness,16,11,10,31,14,24,16,12,12,Bluff +19| Concentration +25| Diplomacy +5| Disguise +1 (+3 acting)| Intimidate +21| Knowledge (arcana) +21| Knowledge (the planes) +21| Listen +21| Move Silently +20| Search +21| Sense Motive +19| Spot +21| Survival +19 (+21 on other planes and following tracks),	Alertness| Cleave| Improved Initiative| Power Attack| Run| Track,Neutral Evil Plane,11,None,Neutral Evil,4,Solitary,-
63,Cerebrilith,Outsider,Chaotic| Evil| Extraplanar| Psionic,Large,9,d8,63,1,6|0|0|0|0,25|10|24,9,19,Bite +14 melee (1d8+6),Bite +14 melee (1d8+6) and 2 claws +9 melee (1d6+3),2|2,si-like abilities| spell-like abilities| summon demon,Damage reduction 10/good| darkvision 60 ft.| immunity to electricity and poison| outsider traits| psionic traits| resistance to acid 10| cold 10| and fire 10| power resistance 20| telepathy 100 ft.,13,7,10,22,13,25,15,18,21,Concentration +17| Hide +7| Jump +16| Knowledge (arcana) +12| Knowledge (psionics) +12| Knowledge (planes) +12| Listen +22| Move Silently +11| Psicraft +12| Search +12| Sense Motive +14| Spot +22,Power Attack| Psionic Meditation| Psionic Fist| Unavoidable Strike| Wild Talent,Chaotic Evil-Aligned Plane,10,Standard,Chaotic Evil,9,Solitary or gang (2–4),10–18 HD (Large)| 19–27 HD (Huge)
64,Chain Devil(Kyton),Outsider,Evil| Extraplanar| Lawful,Medium,8,d8,16,6,6|0|0|0|0,20|12|18,8,10,Chain +10 melee (2d4+2/19–20),2 chains +10 melee (2d4+2/19–20),1|2,Dancing chains| unnerving gaze,Damage reduction 5/silver or good| darkvision 60 ft.| immunity to cold| regeneration 2| spell resistance 18,8,8,6,15,15,15,6,10,12,Climb +13| Craft (blacksmithing) +17| Escape Artist +13| Intimidate +12| Listen +13| Spot +13| Use Rope +2 (+4 with bindings),Alertness| Improved Critical (chain)| Improved Initiative,Lawful Evil-Aligned Plane,6,Standard,Lawful Evil,6,Solitary| gang (2–4)| band (6–10)| or mob (11–20),9–16 HD (Medium)
65,Chaos Beast,Outsider,Chaotic| Extraplanar,Medium,8,d8,8,5,4|0|0|0|0,16|11|15,8,10,Claw +10 melee (1d3+2 plus corporeal instability),2 claws +10 melee (1d3+2 plus corporeal instability),1|1,	Corporeal instability,Darkvision 60 ft.| immunity to critical hits and transformation| spell resistance 15,7,7,6,14,13,13,10,10,10,	Climb +13| Escape Artist +12| Hide +12| Jump +9| Listen +11| Search +11| Spot +11| Survival +0 (+2 following tracks)| Tumble +14| Use Rope +1 (+3 with bindings),Dodge| Improved Initiative| Mobility,Chaotic-Aligned Plane,7,None,Chaotic Neutral,-,Solitary,9–12 HD (Medium)| 13–24 HD (Large)
66,Chichimec,Outsider,Air| Evil| Extraplanar,Medium,27,d8,189,7,1|40|0|0|0,39|17|32,27,39,Primary wing buffet +39 (2d6+12) melee,2 primary wing buffets +39 (2d6+12) melee| 6 secondary wing buffets +37 (1d6+6) melee| tail slam +37 (1d6+6 plus Cha drain) melee,1|1,Spell-like abilities| summon air elemental| Charisma drain,	Abomination traits| fast healing 10| SR 33| DR 10/ good and epic| electricity immunity,22,22,17,34,25,24,12,14,30,Diplomacy +14| Hide +37| Intimidate +40| Jump -3| Knowledge (religion) +31| Knowledge (the planes) +31| Listen +34| Move Silently +37| Search +31| Sense Motive +32| Spot +34,Alertness| Blinding Speed (×2)| Dodge| Epic Toughness| Flyby Attack| Improved Bull Rush| Mobility| Multiattack| Power Attack,Any,21,None,Neutral Evil,-,Solitary| pair| or flock (6–9),28–38 HD (Medium-size)| 39–50 HD (Large)
67,Couatl,Outsider,Native,Large,9,d8,18,7,4|12|0|0|0,21|12|18,9,17,Bite +12 melee (1d3+6 plus poison),Bite +12 melee (1d3+6 plus poison),2|1,Constrict 2d8+6| improved grab| poison| psionics| spells,Darkvision 60 ft.| ethereal jaunt| telepathy 90 ft.,8,9,10,18,16,14,17,19,17,Concentration +14| Diplomacy +17| Jump +0| Knowledge (any two) +15| Listen +16| Search +15| Sense Motive +16| Spellcraft +15 (+17 scrolls)| Spot +16| Survival +4 (+6 following tracks)| Tumble +15| Use Magic Device +15 (+17 scrolls),        Dodge| Empower Spell| Eschew Materials| Hover| Improved Initiative,Warm Forest,10,Standard,Lawful Good,7,Solitary| pair| or flight (3–6),10–13 HD (Large)| 14–27 HD (Huge)
68, Monstrous Centipede(Medium),Vermin,-,Medium,1,d8,0,2,8|0|0|0|8,14|12|12,0,1,Bite +2 melee (1d6–1 plus poison),Bite +2 melee (1d6–1 plus poison),1|1,Poison,Darkvision 60 ft| vermin traits,2,2,0,9,15,10,-,10,2,Climb +10| Hide +10| Spot +4,Weapon Finesse,Underground,0.5,None,Neutral Neutral,-,Solitary or colony (2–5),-
69, Monstrous Centipede(Large),Vermin,-,Large,3,d8,0,2,8|0|0|0|8,14|11|12,2,7,Bite +3 melee (1d8+1 plus poison),Bite +3 melee (1d8+1 plus poison),2|1,Poison,Darkvision 60 ft| vermin traits,3,3,1,13,15,10,-,10,2,Climb +10| Hide +6| Spot +4,Weapon Finesse,Underground,1,None,Neutral Neutral,-,Solitary or colony (2–5),4–5 HD (Large)
70,Dryad,Fey,-,Medium,4,d6,0,4,6|0|0|0|0,17|14|13,2,2,Dagger +6 melee (1d4/19–20) or masterwork longbow +7 ranged (1d8/x3),Dagger +6 melee (1d4/19–20) or masterwork longbow +7 ranged (1d8/x3),1|1,Spell-like abilities,Damage reduction 5/cold iron| tree dependent| wild empathy,3,8,6,10,19,11,14,15,18,Escape Artist +11| Handle Animal +11| Hide +11| Knowledge (nature) +11| Listen +9| Move Silently +11| Ride +6| Spot +9| Survival +9| Use Rope +4 (+6 with bindings),Great Fortitude| Weapon Finesse,Temperate forests,3,Standard,Chaotic Good,-,Solitary or grove (4–7),By character class
71,Grig,Fey,-,Tiny,0.5,d6,1,4,4|8|0|0|0,18|16|16,0,-11,Short Sword +6 melee (1d3–3/19–20) or longbow +6 ranged (1d4–3/x3),Short Sword +6 melee (1d3–3/19–20) or longbow +6 ranged (1d4–3/x3),0.3|0,Spell-like abilities| fiddle,	Damage reduction 5/cold iron| low-light vision| spell resistance 17,1,6,3,5,18,13,10,13,14,	Craft (any one) +4| Escape Artist +8| Hide +16 +18| Jump +3| Listen +3| Move Silently +8 +10*| Perform (string instruments) +6| Search +2| Spot +3,	Dodge| Stealthy| Weapon Finesse,Temperate forests,1,No coins| 50% goods| 50% items,Neutral Good,3,Gang (2–4)| band (6–11)| or tribe (20–80),1–3 HD (Tiny)
72,Hoary Hunter,Fey,Cold,Medium,46,d6,598,19,6|0|0|0|0,46|36|20,23,37,(+6) keen longsword of binding +46 (1d8+27/17-20 plus 1d6 plus binding) melee,(+6) keen longsword of binding +46/+41/+36/+31 (1d8+27/17–20 plus 1d6 plus binding) melee,1|1,Spell-like abilities,Cold immunity| fire vulnerability| SR 36| DR 10/epic and cold iron,28,36,31,38,33,36,21,23,26,Diplomacy +14| Hide +60| Intimidate +57| Knowledge (geography| nature) +54| Listen +55| Move Silently +60| Ride +60| Search +54| Sense Motive +55| Spot +55| Survival +55,Blind Fight| Cleave| Dire Charge| Epic Weapon Focus (longsword)| Great Cleave| Improved Critical (longsword)| Improved Initiative| Mounted Combat| Overwhelming Critical (longsword)| Power Attack| Ride-by Attack| Spirited Charge| Superior Initiative| Track| Trample| Weapon Focus (longsword),Any cold,25,None,Neutral Evil,-,Solitary or company (2–5),47+ HD (Medium)
73,Hoary Steed,Fey,Cold,Medium,12,d6,36,8,8|18|0|0|0,23|13|17,12,22,-,	2 hooves +17 (3d6+6) melee| bite +15 (5d8+3) melee,2|1,-,Cold immunity| fire vulnerability| air walk| astral projection and etherealness| magic circle against good| misty breath| SR 20| DR 5/magic and cold iron| immunities,11,12,5,22,18,17,6,13,14,Jump +10| Listen +8| Spot +13,	Alertness| Endurance| Flyby Attack| Improved Initiative| Multiattack,Any cold,9,None,Neutral Evil,-,Solitary (with rider),13–24 HD (Large)| 25–36 HD (Huge)
74,Leshay,Fey,-,Medium,50,d6,650,21,8|0|0|0|0,52|47|15,25,30,(+10) keen brilliant energy bastard sword +53 (1d10+15/17-20) melee,2 (+10) keen brilliant energy bastard swords +53/+48/+43/+38 (1d10+15/17-20) melee,1|1,Gaze| spell-like abilities| leShay weapons,Superior two-weapon fighting| DR 15/epic and cold iron| elf traits| immune to poison and disease| low-light vision| SR 42| fast healing 10,29,44,35,21,45,37,33,23,47,Bluff +71| Concentration +66| Diplomacy +77| Disguise +71| Escape Artist +70| Gather Information +24| Hide +70| Intimidate +24| Jump +5| Knowledge (local| nature) +59| Listen +59| Move Silently +70| Search +59| Speak Language (any five)| Spot +59,Blind Fight| Blinding Speed| Cleave| Dodge| Expertise| Improved Critical (leShay weapon)| Improved Initiative| Iron Will| Mobility| Polyglot| Power Attack| Quick Draw| Spell Stowaway (heal)| Spring Attack| Weapon Finesse| Weapon Focus (leShay weapon)| Whirlwind Attack,Any,28,Standard,Any,-,Solitary,None
75,Nixie,Fey,Aquatic,Small,1,d6,0,3,4|0|6|0|0,14|14|11,0,-6,Short Sword +4 melee (1d4–2/19–20) or light crossbow +4 ranged (1d6/19–20),Short Sword +4 melee (1d4–2/19–20) or light crossbow +4 ranged (1d6/19–20),1|1,Charm person,Amphibious| damage reduction 5/cold iron| low-light vision| spell resistance 16| water breathing| wild empathy,0,5,3,7,16,11,12,13,18,	Bluff +8| Craft (any one) +5| Escape Artist +6| Handle Animal +8| Hide +7*| Listen +6 +8| Perform (sing) +7| Search +3| Sense Motive +5| Spot +6 +8| Swim +6,Dodge| Alertness| Weapon Finesse,Temperate aquatic,1,No coins| 50% goods (metal or stone only)| 50% items (no scrolls),Neutral Neutral,3,Gang (2–4)| band (6–11)| or tribe (20–80),2–3 HD (Small)
76,Nymph,Fey,-,Medium,6,d6,6,3,6|0|4|0|0,17|17|14,3,3,Dagger +6 melee (1d4/19–20),Dagger +6 melee (1d4/19–20),1|1,Blinding beauty| spells| spell-like abilities| stunning glance,	Damage reduction 10/cold iron| low-light vision| unearthly grace| wild empathy,7,12,12,10,17,12,16,17,19,Concentration +10| Diplomacy +6| Escape Artist +12| Handle Animal +13| Heal +12| Hide +12| Listen +12| Move Silently +12| Ride +5| Sense Motive +12| Spot +12| Swim +8| Use Rope +3 (+5 with bindings),Combat Casting| Dodge| Weapon Finesse,Temperate forests,7,Standard,Chaotic Evil,7,Solitary,7–12 HD (Medium)
77,Pixie,Fey,-,Small,1,d6,0,4,4|6|0|0|0,16|15|12,0,-6,Short Sword +5 melee (1d4–2/19–20) or longbow +5 ranged (1d6–2/x3),Short Sword +5 melee (1d4–2/19–20) or longbow +5 ranged (1d6–2/x3),1|1,Spell-like abilities| special arrow,Damage reduction 10/cold iron| greater invisibility| low-light vision| spell resistance 15,0,6,4,7,18,11,16,15,16,Bluff +7| Concentration +4| Escape Artist +8| Hide +8| Listen +8 +10| Move Silently +8| Ride +8| Search +9| Sense Motive +6| Spot +8 +10,Alertness| Dodge| Weapon Finesse,	Temperate forests,4,No coins| 50% goods| 50% items,Neutral Good,4,Gang (2–4)| band (6–11)| or tribe (20–80),2–3 HD (Small)
78,Satyr,Fey,-,Medium,5,d6,5,1,8|0|0|0|0,15|11|14,2,2,Head butt +2 melee (1d6) or Shortbow +3 ranged (1d6/x3),Head butt +2 melee (1d6) and dagger –3 melee (1d4/19–20)| or Shortbow +3 ranged (1d6/x3),1|1,Pipes,Damage reduction 5/cold iron| low-light vision,2,5,5,10,13,12,12,13,13,Bluff +9| Diplomacy +3| Disguise +1 (+3 acting)| Hide +13| Intimidate +3| Knowledge (nature) +9| Listen +15| Move Silently +13| Perform (wind instruments) +9| Spot +15| Survival +1 (+3 aboveground),Alertness| Dodge| Mobility,Temperate forests,2,Standard,Chaotic Neutral,2,Solitary| pair| band (3–5)| or troop (6–11),	6–10 HD (Medium)
79, Monstrous Centipede(Colossal ),Vermin,-,Colossal ,24,d8,24,1,8|0|0|0|8,20|4|18,18,42,Bite +18 melee (4d6+12 plus poison),Bite +18 melee (4d6+12 plus poison),6|4,Poison,Darkvision 60 ft| vermin traits,15,9,8,27,13,12,-,10,2,Climb +16| Hide –7| Spot +4,-,Underground,9,None,Neutral Neutral,-,Solitary,25–48 HD (Colossal)
80,Centaur,Monstrous Humanoid,-,Large,4,d8,8,2,10|0|0|0|0,14|11|12,4,12,Longsword +7 melee (2d6+6/19–20) or composite longbow (+4 str bonus) +5 ranged (2d6+4/x3),Longsword +7 melee (2d6+6/19–20) and 2 hooves +3 melee (1d6+2)| or composite longbow (+4 str bonus) +5 ranged (2d6+4/x3),2|1,-,Darkvision 60 ft,3,6,5,18,14,15,8,13,11,Listen +3| Move Silently +4| Spot +3| Survival +2,Dodge| Weapon Focus (hoof),Temperate forests,3,Standard,Neutral Good,2,Solitary| company (5–8)| troop (8–18 plus 1 leader of 2nd–5th level)| or tribe (20–150 plus 30% noncombatants plus 10 3rd-level sergeants| 5 5th-level lieutenants| and 1 leader of 5th–9th level),By character class
81,Elder Black Pudding,Ooze,-,Gargantuan,20,d10,180,-5,4|0|0|0|4,1|1|1,15,35,Slam +19 melee (3d6+12 plus 3d6 acid),Slam +19 melee (3d6+12 plus 3d6 acid),4|4,Acid| constrict 2d8+12 plus 2d6 acid| improved grab,Blindsight 60 ft| split| ooze traits,15,1,1,26,1,28,-,1,1,Climb +16| Hide –7| Spot +4,-,Underground,12,None,Neutral Neutral,-,Solitary,-
82,Gelatinous Cube,Ooze,-,Huge,4,d10,32,-5,3|0|0|0|0,3|3|3,3,11,Slam +1 melee (1d6 plus 1d6 acid),Slam +1 melee (1d6 plus 1d6 acid),3|2,Acid| engulf| paralysis,Blindsight 60 ft.| immunity to electricity| ooze traits| transparent,9,-4,-4,10,1,26,-,1,1,-,-,Underground,3,1/10th coins| 50% goods (no nonmetal or nonstone)| 50% items (no nonmetal or nonstone),Neutral Neutral,-,Solitary,5–12 HD (Huge)| 13–24 HD (Gargantuan)
83,Phantom Fungus,Plant,-,Medium,2,d8,6,0,4|0|0|0|0,14|10|14,1,3,Bite +3 melee (1d6+3),Bite +3 melee (1d6+3),1|1,-,Low-light vision| plant traits| greater invisibility,6,0,0,14,10,16,2,11,9,        Listen +4| Move Silently +6| Spot +4,Alertness,Underground,3,None,Neutral Neutral,-,Solitary,3–4 HD (Medium)| 5–6 HD (Large)
